SAMPLE_ID	mutations	cna	structural_variants
P-0036672-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036687-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036687-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036737-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036749-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036885-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036909-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036909-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036909-T03-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036909-T05-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036909-T07-XS1	ACCESS129	ACCESS129	ACCESS129
P-0036917-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036917-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036969-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036969-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0036970-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037107-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037164-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037236-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037244-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037356-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037356-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037369-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037378-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037379-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037497-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037575-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037643-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037654-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037729-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037729-T03-XS1	ACCESS129	ACCESS129	ACCESS129
P-0037729-T04-XS1	ACCESS129	ACCESS129	ACCESS129
P-0037729-T05-XS1	ACCESS129	ACCESS129	ACCESS129
P-0037729-T06-XS1	ACCESS129	ACCESS129	ACCESS129
P-0037743-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037761-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037761-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037761-T04-IM6	IMPACT468	IMPACT468	IMPACT468
P-0037761-T05-XS1	ACCESS129	ACCESS129	ACCESS129
P-0037767-T01-IM6	IMPACT468	IMPACT468	IMPACT468
